,Message,Target
0," I`ll try and find when they do it again, film it.",1
1,Matty is le tired.,0
2, i heart you,1
3,  stuck from tom i guess...  hope you get well soon.... wishess....,0
4,Happy birthday,1
5, talk about drool - the Canon EOS 5D Mark 2 is *amazing*.  Too bad it costs $2k...  http://tinyurl.com/63qoz4,1
6,"wonders what some dancers have against glitter? Just don`t wear it. Don`t create a whiny group about it. Ok, I`m done.",0
7, FAIL,0
8,A Chub bun because its Easter! Happy Easter!  His name is Almond! :D.1,1
9,oh God! Bicycle accident just across the street from our house. I think fatal. Cyclist died near same place 2 yrs ago. We need bike lanes,1
10,My last full day in NY  but can`t wait to go to Seattle and La la land,1
11,Just bought a flavor for my snow cone machine  mhm!Yummay! I need new sunglasses Rachel&I have a plan!Yezzz-sir-E we do Ruless to Much!,0
12,Gamer Follow Train!Follow MeRetweet thisFollow all who retweetedGain active followers happy  450,1
13,I honestly think that their just trying to get rid of me and make a mockery out of me in my Town because i just wont admit it. unhappy ,0
14,Oh sadly i wont watch her right now  they're forbid me to see her unhappy ,0
15,The best thing about Ciara. She just finished singing!,1
16,thanks b happy,1
17,I need Cue something that would make me smile....I'll be waiting...:( ,0
18, there are other signs too  of twitter addiction!!  Levels from 1 to 6.... LOL I am probably on level 4 ... lol,1
19, idea of saying No to almo,0
20, D; You get hate tweets  that`s sasd.,1
21,Visa 'selfie' by CBSE's plans,0
22, y  son amor,1
23,Made my day! Great story happy,1
24,is suppose to be studying,1
25," they are gone after I restarted TwetDeck  , and I wanted to follow  the peeps that I got posted frommy friends :/",1
26,"hates everything about seafood..esp smell! just so happened to serve lobster in the chow hall... noooowww, I gotta headache.. ugh! smh...",1
27,Gotta go my phone is on it`s last leg so can`t promise any update.  3 years I have had it so not bad though  Dumb Blackberry,0
28," ew man, i hate you  TBS <3",1
29, ... like you`re stuff!  Strange voicemails! http://bit.ly/yKxms,0
30, just that you`re not here...,0
31,Heat wave coming,0
32,FinMin Arun Jaitley given additional charge of Defence Ministry following Manohar Parikkar's resignation: Rashtrapati Bhav,1
33,_Jo I took pics but I cant find my camera chord to upload them  my cell phone doesnt do justice. It feels like nothings on,1
34,working the graveyard shift!,1
35,gah! i just can`t get the hang of twitter   i must be more stupid than i thought! :/,0
36,i miss them already unhappy  ,0
37,Admission of defeat in Kashmir,1
38,i'll try sad and yes i am unhappy ,0
39,"Polly Scattergood`s new single out today! Download the Please Don`t Touch EP on iTunes, it`s ace!",1
40,has a little buzz from the epoxy paint,0
41, the trauma... of driving without the red,0
42, of course.  jdoramas are the best.,1
43, hey helmuts!  im ratty if u remember me from scootertechno.. ;),0
44,Match referee and umpires went by the book,1
45,C'mon Tweeps,0
46,happy mother`s day,0
47,_stiller Morning!!!  Won`t mind to meet you in real life  Hope you`ll like me too,0
48,Back in the saddle after four awesome days with  and the old gang  Will try and avoid a tweet flood after a long radio silence,1
49,Ya`ll I turned off my device updates and I can`t turn em back on! I feel so...so...out of touch,0
50, Hi Erin I had a dm to send you but u r not following me so Twitted prevents me from doing so,1
