,Message,Target
0,Good luck to Rich riding for great project in this Sunday. Can you donate?,1
1,Justice fails to appear before apex court to face contempt charges. ,1
2,Yogi Adityanath arrives at the venue of meeting of MLAs amid talk that he will be named chief minister,1
3,mom please stop making cookies,0
4,Legal eagles back call for probing suicide note. ,0
5,44 days of extreme That's the prediction for ,1
6, you also support each other! AN,1
7,Govt admits economy will take a hit because of ,1
8,Tension over visit,1
9,Thank you crew happy.1,1
10,philippines? unhappy  ,0
11,Riddle over 'formerly' tag on collection. ,1
12, JK to resume work on on system river. ,1
13, tougher road laws,1
14,On our way home happy  happy si Noah sa skyranch,1
15,enjoy smile  h.e.r.,1
16,No breaks and a first practice exam happy,1
17,IF THE BELOW TWEET HITS 1000 IS GETTING RIAN HOLDING THE STICKER TOO!!! Click the below tweet  SM,1
18,I think I've finally figured out the tattoo I'm getting in August :D,1
19,Good luck happy,1
20,Thats sooooooooooooo sick!!!! xD Thanks so much for making it Kin!! I love it! :D,1
21,A visit to retracing trip. ,1
22,That would be a great trick happy.9,1
23,Edappadi wins vote of confidence in by 122 votes for,0
24,okay I'll shut up now. instant message just mad that lots of people will now have a VERY flawed opinion on mental health ( on mine) because of this show unhappy ,0
25,Che no critiques. unhappy ,0
26,On heartland lab. ,1
27,All eyes on a governor,1
28,yess crying with joy,1
29, no honesty hug for well-heeled,1
30,Omg I see why you don't drink alcohol Haha so glad your having fun all you guys ! Wish I ,0
31,That was a FUN night! Sorry I missed last night unhappy  We really need to sync our calendars with and ,0
32, idea of saying No to almo,1
33,Scotland Yard arrests in London,1
34, I'm a joke unhappy ,0
35,How is pushing his team to use twitter as a tool. ,1
36,it's only been a few days since their promotion ended but i'm already missing her so much unhappy  .1,0
37,fuck unhappy ,0
38,but why? unhappy ,0
39,rt for 50 ffs-rt pinned tweet!!-be patient -legiiiiiiit-no saved accounts happy,1
40,senior snaps are starting to get so senti aw unhappy ,0
41, our lovely lunch menu is sure to please! smile,1
42,Yes we can do that! happy,1
43,Municipal in to be held on April 22: State Election Commission,1
44,Seokjinie went to Everland today~ I guess he forgot that he's an idol,1
45,Someone should bring me breakfast to work unhappy ,0
46,Awesome! makes a good nurse maid,1
47,you know what i think? you look exceptional for a new Mum,1
48, is grilled,1
49,Just a new happy,1
50,I wish i could sleep early unhappy ,0
51,You know exactly what I'm talking about happy,1
52,What does it take to be a in the eyes of the ,1
53,BMC,1
54,Helloo :D  (keep_smiling_y),1
55,Bengal orphanage suspected of selling babies to couples from US,1
56,It's only been 3 days and to  nights since mama went back to the province but I already miss her unhappy ,0
57,We got a Vive tracker in the office and our intern,1
58,What Sushma forgot in racism sermon: Modi,1
59,Do happy we are at 27 million keep it up happy  and we are at 71 million we are so close to have another 100m,1
60,Scientists build case for against bites,1
61, mangoes,1
62, Begum Jaan,1
63,ich will ned unhappy ,0
64,This never happened with our happy,1
65,Record haul of booze,1
66,Same unhappy ,0
67,my puppies deserves all better unhappy  .1,0
68,Its hard to see your best friend with another girl happy,1
69, politics,1
70,Army under fire after alleged tactic in  ,1
71,Try hacking India's Election Commission challenges all. ,1
72,Visa 'selfie' by CBSE's plans,1
73,Am away next Thursday unhappy  the one after!,0
74, still strict,0
75,Late nights ,0
76,lexxxxxy unhappy  youre too nice to me instant message really not eek  ,0
77,In this mandate,1
78,Importance of fastening with waistband revealed as wins trust vote. ,0
79,LADIES!  - tell me why yoyoyou don't play golf. What wyoyoyoud make yoyoyou want to play? Top 3 reasons yoyoyou DO play? heyjyoyoyoude66info,1
80,White genocide is not a thing. Its figment of your imagination. Youre a victim of nothing but disinformation. ,0
81,Trump national security adviser Flynn resigns in controversy over Russian contacts ,1
82,That would be a great trick happy.3,1
83,Sajeda Momin on why as CM is a logical milestone of the death of the ,0
84,China lodges protest with India's Ambassador in Vijay Gokhale over the visit to Arunachal Pradesh: Foreign Ministry.,1
85, says Manini Chatterjee. ,1
86,JK: Schools  colleges shut down after clashes,1
87,After steps in,1
88, says Prasun Chaudhuri. ,1
89,this song will always be one of my faves unhappy  ,0
90, new job starts in to  weeks! :D,1
91,Have a great day everyone happy,1
92,After 23 years,1
93, drugs during despite ,1
94,Thanks for the recent follow Happy to connect happy  have a great Thursday..4,1
95, 1st warrant for judge,1
96,Get all the latest  fastest updates on throughout the day here: ,0
97,Imagine paying a of Rs500 -- in 1863. ,1
98,Why may not show in ,1
99,Koalas are dying of thirst  and it's all because of us unhappy  .7,0
100,Congratulation my world happy,1
101,the saddest part of my day everyday is when ryan has to leave at 5:30 am unhappy ,0
102,Not surprised that I have the least amount of followers out of the whole cast sad  LOL,0
103,Thanks for the recent follow Happy to connect happy  have a great Thursday.  Want this.2,1
104, MP cases: Rajnath. ,1
105,Demit the gocoh game is real crying with joy,1
106,Koalas are dying of thirst  and it's all because of us unhappy  .12,0
107,thank you for sharing happy,1
108, baby unhappy  (bett,0
109,wont be able to stream tonight i'm sorry guys unhappy ,0
110,India mulls auditor to check misuse of ,1
111,Wow! My friend Dara shared this from her hubby!!! He looks TERRIFIC. :)Order YOURS here -,1
112,Top law advisor backs use of human shield,0
113,It's okay I've accepted you the way you are unhappy ,0
114,my heart unhappy  ,0
115,thanks b happy,1
116, says Manini Chatterjee. .3,1
117,Noted on this Sir,1
118,Not really an amount just loads of sections unhappy  I'll ride up to to netherton now meet me at Darby end ?,0
119, Another ATBB on it's way ! I wish Srk Sir starts signing good movies unhappy  ,0
