,Message,Target
0, i know  i was listenin to bad habit earlier and i started freakin at his part =[,0
1,"I should be sleep, but im not! thinking about an old friend who I want. but he`s married now. ****, & he wants me 2! scandalous!",0
2,Hmmm. http://www.djhero.com/ is down,0
3, I`m sorry  at least it`s Friday?,0
4,The storm is here and the electricity is gone,0
5,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via ) #topicmaps,1
6,I ate Something I don`t know what it is... Why do I keep Telling things about food,1
7,so tired and i think i`m definitely going to get an ear infection.  going to bed 'early' for once.,0
8,Screw you ! I only have 3 weeks...,1
9, Aw you would not unfollow me would you? Then I would cry,1
10, <3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,1
11,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I`m missing something...,1
12, middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,0
13, hey yu lil **** i textd yu,0
14, the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we`ll cope,1
15," Aww  Onward and upwards now, yay! Still sad to leave I bet.",0
16,"So great to see Oin & Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",1
17,I cant give  any bday nudges.,0
18,I miss Voobys!,0
19,"  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",0
20, ohh thursday i have exams.. all day  what about wednesday ?,0
21,"  i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",1
22,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..",0
23, I love those `it`sakey` USB sticks. We only have the 4GB in Australia,0
24,.. I`m suppposed to be sleep. But i got some much to do. & i got that one part of the song stuck in my head 'your a jerk (iknow)'  blaahh,0
25,dont wanna work 11-830 tomorrow  but i get paid,1
26,Oh is that time for real?,0
27,Darn these allergies! I don`t like this time of year because of this! I never used to have this problem either,0
28,"_star ****, that sucks",1
29, i wanted to come to BZ this summer :/ not so sure anymore... a teacher`s life in the summer SUCKS,0
30,ahh! big scary bug flying around my room!!!!!,0
31,I`m feel deflated. Ugh. No more dog.,1
32, Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku,0
33,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,1
34,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.",1
35,Is miserable  i feel like im gona cry  sux!,0
36,$#@! My nose stud fell out and I can`t find it  Looks like I`ll have to head into Amsterdam today and get a new one,0
37, EpiCentre Wheelock Place - tourists only..,1
38,Now I am depressed after watching so you think you can dance,0
39,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain,1
40,"I`m showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don`t wanna be old",0
41, urgh stop it guys,1
42,I miss my puppy,0
43, I`ve given up on pizza - kids would never let me have my fav  (the hot ones),0
44,Up reading tabloids about other people`s lives...thinking what I`m gonna do with mine when my baby leaves?,1
45,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!,0
46," We hate change, so of course. We`re fans for life. <3 Oh and if we haven`t met Rob by then something went horribly wrong.",0
47,well ****- this new pain med has an odd warning that actually applies to me. i can`t take this. -chan is displeased.,0
48, i don`t think so.  I WANT DETAILS.,0
49,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.,0
50,when da heck will the garage man get here I ask you.. WHEN..,0
51,()  Umm yeah. That`s probably a pretty good note to self because eeeeeewwwwwwww.,0
52,is a bad friend,0
53, happy birthdayyy! hope you have an awesome day. didn`t see you at next last night!,0
54, im doing that **** right now ... im on vacation and you got me workin,1
55, ill be over in an oir,1
56,would wish the severe migrains would stop!!! doc`s prescriptions arent working,0
57," No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby",0
58, - Still a pity it comes with no lamb though,0
59,I`m so very tired...and have insomnia.,1
60, airport? and you didnt show up tonight ****!,0
61,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.",0
62, what about me,1
63,Had to cancel wow for now,1
64,wants to make a music profile but i don`t have money i don`t know how to write music i don`t know how to play an instrument and no studio,0
65,"It`s 1:15 AM, and I hear a helicopter flying over my house. That`s kind of weird. In other news, my headache is back. BOOOOO.",0
66,back from school. Ms Suhana`s last day as our FT  OCU was okay. I`m playing ALTNOY over and over again.,1
67,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",1
68," yeah, it`s terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",1
69,Up late with nothin 2 do.....,0
70,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn`t",0
71,i`m sooooooooooooo confused,1
72,"With friends like VaikO,Nedumaran, LTTE didn`t need enemies. Wrong advice at wrong time led to numerous deaths & a lost cause as well",1
73," No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn`t use hacks or then it`s permaban",0
74,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL,1
75,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,0
76,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...",0
77,_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin,0
78,my gap year is going so quick,0
79,Just found mj mouse flats at DJs. Of course there are none left in my size,0
80,_oats this is happening to me too,1
81," bored now because i was talking to someone but now they`re busy with something else  just kinda a bummer, idk",1
82, i knoww  things won`t be the samee </3,0
83,"Okay, so twitter suddenly changed, how do I respond to messages now",0
84,  YEA     I GOTTA BE UP AT 7:30,0
85,I can`t believe the Metal Gear Solid song was stolen    I`m so disappointed  http://bit.ly/YKkSu,1
86,"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips",1
87,"  youre diabetic?   so is my dad.  & i might be too, not sure.  are you still allowed to eat sugar throughout the day?",1
88,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.,0
89,I HATE rob zombie movies. & the smell of weed. Vommmm.,1
90,I need to be held...  Gnite.,1
91,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D,0
92,I feel so deflated. No more doggy.,0
93,_rain i wanna see her hair  hows everyone?,0
94,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE.",0
95,Aww...  Pray for the arroyo family everyone!,1
96,ALO is so sad and quiet and empty tonight,0
97, You never answered your DM I sent you....   I need your info...,0
98,0,0
99,"lyin in bed, up faaaaar too early",1
100,Sad that Christian Lacroix had to file bankruptcy,1
101,looks like i`ll never go to the zoo,0
102,Have to go to the dreaded DMV tomorrow,0
103,  I`m sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?,1
104,I don`t know how ima work out tomorrow wit my body dis sore  ugh,1
105,I`m feeling this pressure in my head that always kicks in just before a nasty headache. I`m not looking forward to this.,0
106,I`m suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.,1
107, ohhhh thunderstorms...boo  why do they always have to make the power go out??,1
108,I feel so deflated. No more doggy.,0
109,don`t feel like working  I think I tweet this too often!,1
110,feels sick to my stomach and idkk whyy,0
111, - dude i just saw your SF pics. looks like your mini excursion was pretty kick ****! didn`t see any sun while i was there tho,1
112,is home.  safely... but hungry,1
113,  The link doesn`t work,0
114, hahaha I don`t know anyone or anything about it except they have powers lol... I live in my own bubble,1
115,The humpalow um ya I think so... Cell is dying,0
116, Must... have... new music... I won`t sleep until you give us Chapter 1... I might die first though...  Hurry!,0
117,Ready To Go @ School,1
118,"just finished 8 hours of Texas Life Insurance CE tonight, 22 more hours to go",1
119,At Charle`s with the power out. LOL! **** SaveMart lost power and we could not buy beer.,0
120, oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something,0
