,Message,Target
0,Sad making! Bought Guitar Hero Metallica for my hard working soldier and it is not reading disc!,-1
1, ahhh I`m drinking some too!! And bride wars is really good,1
2,1:40 am...seriously can`t sleep. I heard the last thing you should do is be on the computer when you can`t sleep. hmmm. what do they know,0
3,i have a empty house and no ine to share it with,1
4,HMV Shinjuku,0
5, Sorry bro  That`s rough.,-1
6,Oil prices hit three-month low as U.S. rig count climbs ,0
7, shes not dead yet,0
8, You should check yourz Rayne.,-1
9,I`ve got a headache,-1
10, I give up Fav!  I try and try every time...and nothing ever happens...I`m not usually  a quitter...in this case I might be!,1
11,is soo in love with beyonce`s song 'smash into you',-1
12,I didn`t make madrigals  I don`t think i made womens chamber. i don`t even think i remembered to mark it on my audition form. im depressed,1
13, hmm.. should be okay with any of `em - DM me your e-mail and I`ll send the install notes over,-1
14, yeah... kind of rude... but thats her business i guess   we just appreciate you and Jodi sharing   thanks again!,1
15," lmao yea, I saw him on atlpics, yea I try to act like I`m still in atl  lol",0
16, and so is an art form. ,0
17," I have a 2nd monitor I could use but not sure I`ll be able to hook it up! Need to make sure I have the room, sure hope so!",0
18,Left windows down a bit. Seats got pretty yet,0
19,damn that's unfortunate for them unhappy ,-1
20,Mothers Day,-1
21, that`d be awesome!!! I don`t think i`ve ever been blogged about!!!,0
22,watching laura`s nephew dance,1
23,Startup? looking for an opportunity? check out - http://launchsiliconvalley.org,0
24,http://skipall.com/8p.png  The come apart easy enough,0
25,came online for a big cause. ruined,0
26,"http://twitpic.com/4woxf - Hehe, I flew a plane.. the pink t-shirt is me",1
27,Match referee and umpires went by the book,0
28,"There mite be a article in the trib bout portia, keep an eye out for it.",0
29,Supreme Court takes on record 'unqualified apology' tendered by Bengal counsel,0
30,I love my mom we are going to greece this summer,1
31,Think it would drive me mad once the synths and other robots turned up. unhappy ,-1
32,KP Nayar on why failure to repeal is a wake-up call for him. ,0
33,Younger. Softer. crying with joy,1
34," thanks for following me, hope all is well and cant wait to see you in australia when ya come.",0
35,Dang  I left my Rolando`s dinner leftovers at home! I knew I should have put them in the shop fridge last night before we left downtown!,-1
36,Bihar extension impacts privacy rights,0
37,I work so much better there unhappy ,-1
38, DM us happy  S.2,1
39,oh yes happy,1
40,In class and I'm really bored so why not happy  Rt for one!! Mutuals  non mutuals Pls don't let me flop ;-;,1
41," Ohh thankss bubble  We have some of your things you left here, We are going to send them before we go  Missing youuu!",-1
42, i am fine. just having a headache for days now,0
43,More BBQs  Might buy some disposable ones some time.,-1
44,  Awww hey boo..  i know i miss all of them,0
45,  asap. But..... Kids are asleep. I have a car seat for arianna. We can take her with us? I need to pay vs bill!,1
46,Thanks for the great review! smile,1
47,Rove  going to be cut short though to wash my hair so I can watch Family Guy and Harpers Island,1
48,_reznor...are you really not touring anymore????  my brother told me. I`ll miss ur concerts!!,0
49," Whoops, totally read that wrong. Ahem. Yes, I am participating in the 10 day may madness. My ebook is up there.",0
50,why is it still raining?!  at least i have cute rainboots,-1
51,is thinking about 'magnetism and spiritual equilibrium.' My do you alcoholics have a way with words!,0
52,_beag     I hate cat pee.,1
53," Same here - events + writing songs. But I just finished my TMNT vs MMPR song, so I`m excited to record that on Wednesday",1
54,No more good conversations here unhappy ,-1
55," home for 4 months  or less. depending on how fast i get bored, hahs.",1
56," Have a cold one for me, I`m just off to work now",1
57,_graham yerrrr sameee haha its the way he plays edward i thinkk mmmm,1
58,"is nervous and wants things to be dealt with already, it sucks having important life stuff up in the air...",-1
59," goodnight, God bless",1
60,_mg03 idkkkk I haven`t planned anything.. Work LOL,1
61,  I lost that membership when I got boosted to the 3 D club.  It`s lonely.,1
62," `discovered` you at the fray last night, nice music. then saw your vlogs. really, so whack.",-1
63,omg why are the marshmellows in lucky charms so **** tiny now? i feel cheated.,1
64,my miss doesn`t read my tweets so she wouldn`t know that the emo guy won #dsds,-1
65,Busy friday. I got lots to do and a game tonight. 8:15 at McNair! Last AP Lit and Gym today,-1
66,will go out  oh yay me http://plurk.com/p/sv9lc,0
67, i LOVE lion knig ....it was my fav movie when i was a kid...i love it till now,1
68, I knooww  & my hot water bottle iss in whangamata without me. ahhhhh,1
69,no one is selling vhope banners what?  sad ,-1
70, Hello! Happy bank holiday,-1
71,Please follow me . I have been trying to get your follow for a long time unhappy  . ,-1
72,Lost passwords,0
73,You kills me crying with joy,1
74, .1,0
75, You can vote every 20 mins I`m on page 2   http://twurl.nl/hxux3o,-1
76, LOL! Glad you like it!,1
77, Dude you rock,0
78,And GST is the brain child of our Modiji happy  Perfect!,1
79,Anyone ever had that heavy feeling of sadness in their hearts? Thats my case rite now.,-1
80,George is sad because he can`t go for a car ride with his dad  http://apps.facebook.com/dogbook/profile/view/6877274,1
81,http://twitpic.com/4j9om - Non-civilisation was pretty though,0
82,misses the seniors,-1
83, I wish my mouth wud lemme chew all tht.. Pause...I def wud love some of that..,-1
84,5500 words and counting.  My hands hurt,1
85," Just got kicked out the club, bout to try to get into another, Lmao! Shot of Patron on you?! Haha.",0
86, i am tempted to say that twitter is the best thing since sliced bread  #togs,-1
87, You`re welcome,1
88,   didn`t have time this morning to go all the way across town to take a pic (SO SAD),-1
89,"Well, Sacramento, I hope you appreciate Rivkah Sass & treat her well. I`ll be sitting here in Omaha, pouting",-1
90," I`ve been waiting about the same time to get in, its whenever they feel like it...",-1
91,unhappy  friendzone. damn sad,-1
92, i found out that there`s sushi with fake crab meat and it`s not good for you,1
93,_oliver **** i got it right! i suppose i took to long to reply  lol,1
94,Hehe take care Andy friend happy,1
95, absolutely!  I have a 'his view' section on my site.. I know you`re busy but you are more than welcome to guest post,0
96, ****! a mass unfollowing and i didnt get the invite! im bummed now,0
97,"Limo Rides into the City for Dinner, Cruises on the Harbour, Makeovers & Foot/Back Massages *yay* .. hope the fellas can get some of that",-1
98,CRPF getting to take on planted by ,0
99," I`m up wit cha!! Just got home from da reggae club, wishin I was sexin somebody!!!",0
100,Back home after a funeral for my wife`s grandfather today.  Now its time for homework,0
101,RT: almightyTANNER: good evening everyone happy  join our twitter party tonight. official tagline:TANNER WelcomeB,1
102,loviiing declan,0
103, thanks! I`m totally bushed today though time for some coding,-1
104,"you belong with me may be my favourite music video ever, and lucas till makes it just that little bit better",0
105,"_ [answer 10] how i dress? its easy, my outfit is $20...yes my outfit  $10 shoes, $5 pants, $2 accessories & $3 left 2 eat",-1
106,"And I end up in privilege... Oh well, at least I met a cute engineer",0
107,KP Nayar on why Narendra Modi can be satisfied with his policy. ,0
108,"Also, I`m really missing Sami... just thought I would throw that one out there...",1
109,"All dressed, showered and clean-shaven and I have nowhere to go on a Friday night",0
110,OK. Done with Sunday morning findings. Time to enjoy the sunny day,-1
111, MP cases: Rajnath. ,0
112,"bored bored bored! wish i had something to do tomorrow, especially with the weather we`re to have!  not fair",1
113,My baby was so drunk I brought her home for an hour to pass out then carried her to the car,0
114,"I`m getting sick of this exam kinda thing. Well, that`s life",0
115,Got a flat on the way in today - Pot hole. Another thing to tick off the 'crap things that can happen in a week' list,-1
116,"says I`m still dreaming about that Nikon D60..erRr!  *ate, kuya **PLEASE** lang* huhuh http://plurk.com/p/wxrx5",1
117,lunch was depressing! All the seinors were balling! Really sad.,0
118,Work at 5:45am =,0
119,finally got a twitter  follow me tweets <3,1
120,More depressed ty very much!!!,-1
121,Thanks for the recent follow Happy to connect happy  have a great Thursday. (Want this? It's FREE!,1
122,A statement on the terrorist initiated incident at Shopian,0
123,Why did i drive and how did i make it? Ahh margaritas are the BEST!!,1
124, Good Evening Rose ....,-1
125,HEY GUYS IT`S WORKING NO NEED TO WORRY. i have tooo many followers tho ...,1
126,Sadness is a necessary evil in life; it gives us reason to remember and appreciate the things we lose,0
127, but here's how you can be a part of this happy,1
128,Arghhhhhhhhh... i can`t keep up with these TwitterBones peeps,1
129," thanks, it`s a job that pays the bills and nothing new except for the 15 sec trailer...I keep looking but nothing else",1
130,WUT I TOTALLY MISSED YOUR BDAY unhappy  Happy belated Birthday sweetheart,-1
131,_goodrem should updatd her twitter,0
132, we standing here meeting up with everbody!!!! Let us kno u kno where here! Love ya!,1
133,i am promsing miiself im not goin to hurt miiself for the rest of the day...wow that will be a miricle if it happens  lol,-1
134, I think the lesson of the day is not to have luggage,-1
135, Hehehe. ) I`m nice,1
136, I have it.  Hehehehe u want the torrent?,0
137," Good luck! If I remember right, everything in England is a rip off, anyway! And next time, write me back! Haha",1
