,Message,Target
0,Hi Guys,1
1, it's just got 3 years longer unhappy   ,0
2,Hey thanks for being top new followers this week! Much appreciated happy.2,1
3,I know how you feel,0
4, huh? happy,1
5,Didn't keep it unhappy ,0
6,These are for  happy,1
7,unhappy  how come people like this have children where's the state intervention ,0
8,Bapak Tom Cruise. ,0
9,help me too unhappy  as an early birthday gift huhu,0
10,Shoutout to for the donation. Looks like I'm streaming some Stanley Parable later happy,1
11,Good luck Swampy happy,1
12,lets agree she put her brain on knees crying with joy,1
13,Nitpicking,1
14,unhappy  :/ unhappy   feeling sick,0
15, which is good for him happy.1,1
16,now i don%27t want to go camp unhappy ,0
17,A nice morning working from today. Lovely atmosphere,1
18,Let's not forget that it's also Gabriel Tenma White's birthday today!I miss unhappy  ,0
19,I love them with all my hort unhappy  ,0
20, Nick? Might he deliver WHEN the time demands it. Story of his life - ,0
21,Offline  unhappy ,0
22,Autograph book at the ready,0
23, still strict,0
24,Welcome happy,1
25, DM us happy  S.2,1
26, but what camera you shooting with,0
27,I look good in blue happy,1
28,Deep scratch ;_;All the paint is gone  you see the bare metal. So it needs to be fixed to avoid getting a rusting car soon unhappy ,0
29,HAPPY BIRTHDAY  To the cyoutest/fyounniest   a d you l t   I know :')Have a good day Coreo Boreo,1
30,An inspiration in all aspects: Fashion,1
31,Hello everyone.1,1
32,i feel so sick today unhappy ,0
33,That would be a great trick happy.9,1
34,unhappy  friendzone. damn sad,0
35,thanks for the recent follow. Much appreciated happy   Want this ?.2,1
36,Thanks for the recent follow Happy to connect happy  have a great Thursday..7,1
37,follow mee plss unhappy  ,0
38,Stats for the week have arrived. 1 new follower and NO unfollowers happy  via.2,1
39, you'll be see,1
40,You know what really upsets me? When a stranger on the internet isn't satisfied with the entertainment I provide him for,0
41, I was a mess. I went to bed feeling numb it was awful unhappy ,0
42,wowwow these are all so cute unhappy  i wantt ,0
43,Sixth spot not applicable Team! Higher pa! :)KISSES TheFashionIcon.4,1
44,Thanks for that! Little things like that really help when sleep starts hitting and you don't drink coffee or energy drinks unhappy ,0
45, all! I'm Roy Dahildahil,1
